Round 1:
Real: (-5.463924026116729e-06, 125.00000762939453, -9.999977111816406)
Theoretical: (0, 125.0, -10)
Real: (4.999997138977051, 124.89997100830078, -9.999977111816406)
Theoretical: (5, 124.89995996796796, -10)
Real: (10.000001907348633, 124.599365234375, -9.999977111816406)
Theoretical: (10, 124.59935794377112, -10)
Real: (14.999999046325684, 124.09672546386719, -9.999992370605469)
Theoretical: (15, 124.09673645990857, -10)
Real: (19.999982833862305, 123.38964080810547, -9.999977111816406)
Theoretical: (20, 123.38962679253066, -10)
Real: (25.000001907348633, 122.47450256347656, -9.999977111816406)
Theoretical: (25, 122.47448713915891, -10)
Real: (30.000022888183594, 121.34661865234375, -9.999977111816406)
Theoretical: (30, 121.34661099511597, -10)
Real: (35.00000762939453, 120.00001525878906, -9.999977111816406)
Theoretical: (35, 120.0, -10)
Real: (40.0000114440918, 118.42720031738281, -9.999977111816406)
Theoretical: (40, 118.42719282327012, -10)
Real: (45.0, 116.61904907226562, -9.999977111816406)
Theoretical: (45, 116.61903789690601, -10)
Real: (50.00000762939453, 114.56439971923828, -9.999977111816406)
Theoretical: (50, 114.564392373896, -10)
Real: (55.000003814697266, 112.24972534179688, -9.999977111816406)
Theoretical: (55, 112.24972160321825, -10)
Real: (59.999996185302734, 109.6585693359375, -9.999977111816406)
Theoretical: (60, 109.65856099730654, -10)
Real: (65.00000762939453, 106.77078247070312, -9.999977111816406)
Theoretical: (65, 106.7707825203131, -10)
Real: (70.0, 103.56158447265625, -9.999977111816406)
Theoretical: (70, 103.56157588603989, -10)
Real: (75.0, 100.00001525878906, -9.999977111816406)
Theoretical: (75, 100.0, -10)
Real: (80.0, 96.04686737060547, -9.999977111816406)
Theoretical: (80, 96.04686356149273, -10)
Real: (85.00000762939453, 91.65151977539062, -9.999977111816406)
Theoretical: (85, 91.6515138991168, -10)
Real: (90.00000762939453, 86.74676513671875, -9.999977111816406)
Theoretical: (90, 86.74675786448736, -10)
Real: (95.00000762939453, 81.24038696289062, -9.999977111816406)
Theoretical: (95, 81.24038404635961, -10)
Real: (100.00000762939453, 75.00000762939453, -9.999977111816406)
Theoretical: (100, 75.0, -10)
Real: (104.99999237060547, 67.82331085205078, -9.999977111816406)
Theoretical: (105, 67.82329983125268, -10)
Real: (110.00000762939453, 59.3717155456543, -9.999977111816406)
Theoretical: (110, 59.371710435189584, -10)
Real: (115.00000762939453, 48.98979949951172, -9.999977111816406)
Theoretical: (115, 48.98979485566356, -10)
Real: (120.00001525878906, 35.000003814697266, -9.999977111816406)
Theoretical: (120, 35.0, -10)
Real: (125.00000762939453, 2.5397886571632e-10, -9.999977111816406)
Theoretical: (125, 0.0, -10)
Real: (125.00000762939453, 2.5397886571632e-10, -9.999977111816406)
Theoretical: (125, -0.0, -10)
Real: (120.00001525878906, -35.000003814697266, -9.999977111816406)
Theoretical: (120, -35.0, -10)
Real: (115.00000762939453, -48.98979949951172, -9.999977111816406)
Theoretical: (115, -48.98979485566356, -10)
Real: (110.00000762939453, -59.3717155456543, -9.999977111816406)
Theoretical: (110, -59.371710435189584, -10)
Real: (104.99999237060547, -67.82331085205078, -9.999977111816406)
Theoretical: (105, -67.82329983125268, -10)
Real: (100.00000762939453, -75.00000762939453, -9.999977111816406)
Theoretical: (100, -75.0, -10)
Real: (95.00000762939453, -81.24038696289062, -9.999977111816406)
Theoretical: (95, -81.24038404635961, -10)
Real: (90.00000762939453, -86.74676513671875, -9.999977111816406)
Theoretical: (90, -86.74675786448736, -10)
Real: (85.00000762939453, -91.65151977539062, -9.999977111816406)
Theoretical: (85, -91.6515138991168, -10)
Real: (80.0, -96.04686737060547, -9.999977111816406)
Theoretical: (80, -96.04686356149273, -10)
Real: (75.0, -100.00001525878906, -9.999977111816406)
Theoretical: (75, -100.0, -10)
Real: (70.0, -103.56158447265625, -9.999977111816406)
Theoretical: (70, -103.56157588603989, -10)
Real: (65.00000762939453, -106.77078247070312, -9.999977111816406)
Theoretical: (65, -106.7707825203131, -10)
Real: (59.999996185302734, -109.6585693359375, -9.999977111816406)
Theoretical: (60, -109.65856099730654, -10)
Real: (55.000003814697266, -112.24972534179688, -9.999977111816406)
Theoretical: (55, -112.24972160321825, -10)
Real: (50.00000762939453, -114.56439971923828, -9.999977111816406)
Theoretical: (50, -114.564392373896, -10)
Real: (45.0, -116.61904907226562, -9.999977111816406)
Theoretical: (45, -116.61903789690601, -10)
Real: (40.0000114440918, -118.42720031738281, -9.999977111816406)
Theoretical: (40, -118.42719282327012, -10)
Real: (35.00000762939453, -120.00001525878906, -9.999977111816406)
Theoretical: (35, -120.0, -10)
Real: (30.000022888183594, -121.34661865234375, -9.999977111816406)
Theoretical: (30, -121.34661099511597, -10)
Real: (25.000001907348633, -122.47450256347656, -9.999977111816406)
Theoretical: (25, -122.47448713915891, -10)
Real: (19.999982833862305, -123.38964080810547, -9.999977111816406)
Theoretical: (20, -123.38962679253066, -10)
Real: (14.999999046325684, -124.09672546386719, -9.999992370605469)
Theoretical: (15, -124.09673645990857, -10)
Real: (10.000001907348633, -124.599365234375, -9.999977111816406)
Theoretical: (10, -124.59935794377112, -10)
Real: (4.999997138977051, -124.89997100830078, -9.999977111816406)
Theoretical: (5, -124.89995996796796, -10)
Real: (-5.463924026116729e-06, -125.00000762939453, -9.999977111816406)
Theoretical: (0, -125.0, -10)

Round 2:
Real: (-5.463924026116729e-06, 125.00000762939453, -9.999977111816406)
Theoretical: (0, 125.0, -10)
Real: (4.999997138977051, 124.89997100830078, -9.999977111816406)
Theoretical: (5, 124.89995996796796, -10)
Real: (10.000001907348633, 124.599365234375, -9.999977111816406)
Theoretical: (10, 124.59935794377112, -10)
Real: (14.999999046325684, 124.09672546386719, -9.999992370605469)
Theoretical: (15, 124.09673645990857, -10)
Real: (19.999982833862305, 123.38964080810547, -9.999977111816406)
Theoretical: (20, 123.38962679253066, -10)
Real: (25.000001907348633, 122.47450256347656, -9.999977111816406)
Theoretical: (25, 122.47448713915891, -10)
Real: (30.000022888183594, 121.34661865234375, -9.999977111816406)
Theoretical: (30, 121.34661099511597, -10)
Real: (35.00000762939453, 120.00001525878906, -9.999977111816406)
Theoretical: (35, 120.0, -10)
Real: (40.0000114440918, 118.42720031738281, -9.999977111816406)
Theoretical: (40, 118.42719282327012, -10)
Real: (45.0, 116.61904907226562, -9.999977111816406)
Theoretical: (45, 116.61903789690601, -10)
Real: (50.00000762939453, 114.56439971923828, -9.999977111816406)
Theoretical: (50, 114.564392373896, -10)
Real: (55.000003814697266, 112.24972534179688, -9.999977111816406)
Theoretical: (55, 112.24972160321825, -10)
Real: (59.999996185302734, 109.6585693359375, -9.999977111816406)
Theoretical: (60, 109.65856099730654, -10)
Real: (65.00000762939453, 106.77078247070312, -9.999977111816406)
Theoretical: (65, 106.7707825203131, -10)
Real: (70.0, 103.56158447265625, -9.999977111816406)
Theoretical: (70, 103.56157588603989, -10)
Real: (75.0, 100.00001525878906, -9.999977111816406)
Theoretical: (75, 100.0, -10)
Real: (80.0, 96.04686737060547, -9.999977111816406)
Theoretical: (80, 96.04686356149273, -10)
Real: (85.00000762939453, 91.65151977539062, -9.999977111816406)
Theoretical: (85, 91.6515138991168, -10)
Real: (90.00000762939453, 86.74676513671875, -9.999977111816406)
Theoretical: (90, 86.74675786448736, -10)
Real: (95.00000762939453, 81.24038696289062, -9.999977111816406)
Theoretical: (95, 81.24038404635961, -10)
Real: (100.00000762939453, 75.00000762939453, -9.999977111816406)
Theoretical: (100, 75.0, -10)
Real: (104.99999237060547, 67.82331085205078, -9.999977111816406)
Theoretical: (105, 67.82329983125268, -10)
Real: (110.00000762939453, 59.3717155456543, -9.999977111816406)
Theoretical: (110, 59.371710435189584, -10)
Real: (115.00000762939453, 48.98979949951172, -9.999977111816406)
Theoretical: (115, 48.98979485566356, -10)
Real: (120.00001525878906, 35.000003814697266, -9.999977111816406)
Theoretical: (120, 35.0, -10)
Real: (125.00000762939453, 2.5397886571632e-10, -9.999977111816406)
Theoretical: (125, 0.0, -10)
Real: (125.00000762939453, 2.5397886571632e-10, -9.999977111816406)
Theoretical: (125, -0.0, -10)
Real: (120.00001525878906, -35.000003814697266, -9.999977111816406)
Theoretical: (120, -35.0, -10)
Real: (115.00000762939453, -48.98979949951172, -9.999977111816406)
Theoretical: (115, -48.98979485566356, -10)
Real: (110.00000762939453, -59.3717155456543, -9.999977111816406)
Theoretical: (110, -59.371710435189584, -10)
Real: (104.99999237060547, -67.82331085205078, -9.999977111816406)
Theoretical: (105, -67.82329983125268, -10)
Real: (100.00000762939453, -75.00000762939453, -9.999977111816406)
Theoretical: (100, -75.0, -10)
Real: (95.00000762939453, -81.24038696289062, -9.999977111816406)
Theoretical: (95, -81.24038404635961, -10)
Real: (90.00000762939453, -86.74676513671875, -9.999977111816406)
Theoretical: (90, -86.74675786448736, -10)
Real: (85.00000762939453, -91.65151977539062, -9.999977111816406)
Theoretical: (85, -91.6515138991168, -10)
Real: (80.0, -96.04686737060547, -9.999977111816406)
Theoretical: (80, -96.04686356149273, -10)
